,Date,Central (kWh),temp_C,rain_mm/h,solarRad_W/m2,pres_mbar,windSpeed_m/s,Power-1,holiday_weekend,hour,hour_sin,hour_cos,Central (kWh)_rolling_mean_2H,Central (kWh)_rolling_mean_4H,temp_C_rolling_mean_2H,temp_C_rolling_mean_4H,solarRad_W/m2_rolling_mean_2H,solarRad_W/m2_rolling_mean_4H,Central (kWh)_rolling_std_2H,Central (kWh)_rolling_std_4H,temp_C_rolling_std_2H,temp_C_rolling_std_4H,solarRad_W/m2_rolling_std_2H,solarRad_W/m2_rolling_std_4H,Central (kWh)_diff,Central (kWh)_2nd_diff
1023,2019-02-12 15:00:00,251.406,18.01416667,0.0,419.5916667,1028.0,0.0,254.521,0.0,15,0.9659258262890683,-0.25881904510252063,256.077,260.001,15.742916664999997,13.739999999999998,581.1416666499999,591.8895833250001,2.2005163030567383,5.177690154237386,1.4737283854797965,2.5396741725056957,51.1827458213148,37.93140820816145,-3.1119999999999948,0.5349999999999966
1024,2019-02-12 16:00:00,251.18,18.12166667,0.0,252.2916667,1028.0,0.0,251.406,0.0,16,0.8660254037844387,-0.4999999999999998,252.9635,256.21,17.399583335,15.497291667499999,482.27083335,552.3395833250001,2.2026376234012885,4.229301203109145,0.8691520875650923,2.4273452172937606,88.64172755467396,95.82516372037958,-3.1149999999999807,-0.002999999999985903
1025,2019-02-12 17:00:00,225.024,17.64666667,0.0,81.4525,1028.0,0.0,251.18,0.0,17,0.7071067811865476,-0.7071067811865475,251.29300000000003,253.685,18.067916669999995,16.9054166675,335.9416666999999,458.5416666750001,0.1598061326273395,3.0416259905880727,0.076013978972681,1.5898929211762665,118.29896449251125,159.93473506953723,-0.2259999999999991,2.8889999999999816
1026,2019-02-12 18:00:00,182.837,16.33666667,0.0,2.888166667,1028.833333,0.0,225.024,0.0,18,0.49999999999999994,-0.8660254037844387,238.10200000000003,245.53275,17.884166669999995,17.6418750025,166.87208334999994,324.5714583500001,18.49508496871651,13.757227951757665,0.3358757210625312,0.6063714098028631,120.80153326583249,201.5992210672905,-26.156000000000006,-25.930000000000007
1027,2019-02-12 19:00:00,158.096,15.4,0.0,0.9135833333,1029.0,0.0,182.837,0.0,19,0.258819045102521,-0.9659258262890682,203.93050000000002,227.61175,16.991666669999994,17.52979167,42.17033333349994,189.05600001675012,29.830713777918398,32.31668005199936,0.9263098833540272,0.821003895138905,55.55337285917482,185.63622001463077,-42.18700000000001,-16.031000000000006
1028,2019-02-12 20:00:00,133.123,14.63416667,0.0,0.9920833333,1029.0,0.0,158.096,0.0,20,1.2246467991473532e-16,-1.0,170.46650000000002,204.28425,15.868333334999996,16.8762500025,1.9008750001499433,84.38647917507511,17.494528873340236,41.72404410229149,0.6623233540680122,1.240304903352585,1.3962412657175778,118.05430884901592,-24.740999999999985,17.446000000000026
1029,2019-02-12 21:00:00,123.426,14.0575,0.0,1.19275,1029.0,0.0,133.123,0.0,21,-0.2588190451025208,-0.9659258262890683,145.60950000000003,174.77,15.017083334999997,16.0043750025,0.9528333332999431,21.561583333400115,17.65857764657646,39.17071988956339,0.5415259409012487,1.2974692920616462,0.05550789342052034,39.93771243416372,-24.973000000000013,-0.23200000000002774
1030,2019-02-12 22:00:00,119.573,13.42833333,0.0,0.9325,1029.0,0.0,123.426,0.0,22,-0.4999999999999997,-0.8660254037844388,128.27450000000002,149.3705,14.345833334999996,15.107083335,1.092416666649943,1.4966458334001138,6.85681445718002,26.66607900810767,0.4077649128407765,0.9870749210822415,0.14189276512174626,0.9350985874050695,-9.696999999999989,15.276000000000025
1031,2019-02-12 23:00:00,118.664,12.76416667,0.0,0.6969166667,1029.0,0.0,119.573,0.0,23,-0.7071067811865471,-0.7071067811865479,121.49950000000003,133.55450000000002,13.742916664999996,14.379999999999999,1.062624999999943,1.0077291666501136,2.7244824279488586,17.325706036598998,0.44488801885317253,0.8395785444549752,0.18402454315042252,0.12780240920823205,-3.8530000000000086,5.84399999999998
1032,2019-02-13 00:00:00,131.571,12.0125,0.0,0.7155,1029.083333,0.0,118.664,0.0,0,-0.8660254037844387,-0.4999999999999998,119.11850000000003,123.6965,13.096249999999996,13.7210416675,0.8147083333499432,0.9535625000001137,0.6427600642581792,6.614665045687807,0.4696367491237174,0.8058720765691345,0.16658257620976752,0.20412841422541994,-0.9089999999999918,2.944000000000017
